Configuration,Samples,Dry_Weight,Wet_Weight,Length,Width,Thickness
LH02_0D_N1,1,0.695,0.1338,38,8,2
LH02_0D_N1,2,0.6961,0.1301,38,8,2
LH02_0D_N1,3,0.695,0.1293,38,8,2
LH02_0D_N1,4,0.6952,0.1328,38,8,2
LH02_0D_N1,5,0.6962,0.1331,38,8,2
LH01_0D_N1,1,0.6997,0.1318,38,8,2
LH01_0D_N1,2,0.7019,0.133,38,8,2
LH01_0D_N1,3,0.7007,0.1316,38,8,2
LH01_0D_N1,4,0.7005,0.1306,38,8,2
LH01_0D_N1,5,0.7009,0.1318,38,8,2
LH005_0D_N1,1,0.7175,0.1266,38,8,2
LH005_0D_N1,2,0.7169,0.1274,38,8,2
LH005_0D_N1,3,0.72,0.1294,38,8,2
LH005_0D_N1,4,0.7151,0.128,38,8,2
LH005_0D_N1,5,0.718,0.1319,38,8,2
LH02_90D_N1,1,0.6508,0.1401,38,8,2
LH02_90D_N1,2,0.654,0.1175,38,8,2
LH02_90D_N1,3,0.654,0.1457,38,8,2
LH02_90D_N1,4,0.6531,0.1438,38,8,2
LH02_90D_N1,5,0.6414,0.1371,38,8,2
LH01_90D_N1,1,0.6515,0.14,38,8,2
LH01_90D_N1,2,0.6515,0.1448,38,8,2
LH01_90D_N1,3,0.6606,0.1428,38,8,2
LH01_90D_N1,4,0.6632,0.1423,38,8,2
LH01_90D_N1,5,0.6629,0.1428,38,8,2
LH005_90D_N1,1,0.6541,0.1367,38,8,2
LH005_90D_N1,2,0.6509,0.1405,38,8,2
LH005_90D_N1,3,0.6545,0.1383,38,8,2
LH005_90D_N1,4,0.6501,0.1413,38,8,2
LH005_90D_N1,5,0.6586,0.1411,38,8,2
